-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/04/1995 through 05/30/2020 
Location: Latitude  27.6895   Longitude 85.3614 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1653.16 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,T2M_RANGE,TS,T2M
27.68951,85.36141,1995,01,04,    0.00,   12.07,    4.48,    7.91
27.68951,85.36141,1995,01,05,    0.19,   11.53,    5.75,    8.12
27.68951,85.36141,1995,01,06,    0.00,   13.10,    5.69,    8.38
27.68951,85.36141,1995,01,07,    0.00,   14.06,    5.51,    9.15
27.68951,85.36141,1995,01,08,    2.18,    9.66,    4.84,    7.96
27.68951,85.36141,1995,01,09,    1.93,   12.54,    7.62,    7.58
27.68951,85.36141,1995,01,10,    0.11,   12.07,    5.75,    7.19
27.68951,85.36141,1995,01,11,    0.09,   10.17,    5.63,    8.11
27.68951,85.36141,1995,01,12,    0.00,   11.12,    4.96,    7.10
27.68951,85.36141,1995,01,13,    0.00,   11.39,    3.88,    5.70
27.68951,85.36141,1995,01,14,    0.00,   13.07,    4.11,    6.64
27.68951,85.36141,1995,01,15,    0.02,   10.64,    7.04,    8.48
27.68951,85.36141,1995,01,16,    0.02,   14.40,    8.77,    9.46
27.68951,85.36141,1995,01,17,    0.05,    7.99,    6.77,    7.66
27.68951,85.36141,1995,01,18,    0.01,   14.53,    6.51,    7.75
27.68951,85.36141,1995,01,19,    0.00,    9.01,    5.36,    7.84
27.68951,85.36141,1995,01,20,    0.00,   11.59,    6.49,    7.62
27.68951,85.36141,1995,01,21,    0.00,   11.16,    6.20,    6.88
27.68951,85.36141,1995,01,22,    0.00,   11.90,    4.83,    6.19
27.68951,85.36141,1995,01,23,    0.00,   11.64,    4.47,    6.97
27.68951,85.36141,1995,01,24,    0.00,   10.63,    3.74,    6.26
27.68951,85.36141,1995,01,25,    0.00,   11.64,    4.32,    6.81
27.68951,85.36141,1995,01,26,    0.00,   12.79,    5.22,    7.99
27.68951,85.36141,1995,01,27,    0.00,   11.63,    6.07,    9.17
27.68951,85.36141,1995,01,28,    0.00,   12.00,    6.72,    9.63
27.68951,85.36141,1995,01,29,    0.00,   12.18,    7.10,    9.73
27.68951,85.36141,1995,01,30,    0.00,   12.87,    7.52,    9.49
27.68951,85.36141,1995,01,31,    0.00,   13.01,    7.53,    9.89
27.68951,85.36141,1995,02,01,    0.00,   11.00,    7.77,   10.15
27.68951,85.36141,1995,02,02,    0.00,   12.48,    7.58,   10.29
27.68951,85.36141,1995,02,03,    0.00,   12.30,    7.64,   10.51
27.68951,85.36141,1995,02,04,    0.04,   14.83,    8.43,   10.09
27.68951,85.36141,1995,02,05,    1.84,   11.52,    8.09,    8.99
27.68951,85.36141,1995,02,06,    0.14,   12.70,    7.42,    9.28
27.68951,85.36141,1995,02,07,    0.01,   15.35,    7.31,    9.86
27.68951,85.36141,1995,02,08,    0.00,   11.85,    7.75,   10.14
27.68951,85.36141,1995,02,09,    0.00,   12.42,    8.27,   10.33
27.68951,85.36141,1995,02,10,    0.00,   12.37,    9.73,   11.72
27.68951,85.36141,1995,02,11,    0.00,   11.71,   10.22,   11.90
27.68951,85.36141,1995,02,12,    0.00,   12.59,   11.56,   12.78
27.68951,85.36141,1995,02,13,    0.00,   14.19,   12.38,   13.67
27.68951,85.36141,1995,02,14,    0.40,   13.18,   13.73,   14.55
27.68951,85.36141,1995,02,15,    3.13,    6.37,   10.00,    9.08
27.68951,85.36141,1995,02,16,    1.09,   10.09,   10.01,    9.37
27.68951,85.36141,1995,02,17,    0.00,   12.05,    8.96,    9.84
27.68951,85.36141,1995,02,18,    0.00,   13.51,    8.22,    8.85
27.68951,85.36141,1995,02,19,    0.00,   13.54,    8.13,    9.37
27.68951,85.36141,1995,02,20,    0.00,   14.74,    8.90,    9.52
27.68951,85.36141,1995,02,21,    0.00,   14.66,    9.72,   10.03
27.68951,85.36141,1995,02,22,    0.00,   11.28,   10.64,    9.63
27.68951,85.36141,1995,02,23,    0.38,   12.22,   10.80,    9.90
27.68951,85.36141,1995,02,24,    0.85,   12.47,    8.18,    8.60
27.68951,85.36141,1995,02,25,    0.08,   13.64,    9.04,    9.91
27.68951,85.36141,1995,02,26,    0.00,   12.06,   10.64,   11.05
27.68951,85.36141,1995,02,27,    0.11,   12.93,   10.77,   11.30
27.68951,85.36141,1995,02,28,    0.22,   14.70,   10.80,   11.14
27.68951,85.36141,1995,03,01,    0.01,   14.43,   10.80,   11.78
27.68951,85.36141,1995,03,02,    0.00,   12.97,   12.14,   13.43
27.68951,85.36141,1995,03,03,    0.00,   12.94,   12.02,   13.27
27.68951,85.36141,1995,03,04,    0.00,   12.84,   12.60,   13.56
27.68951,85.36141,1995,03,05,    0.00,   14.25,   12.80,   13.62
27.68951,85.36141,1995,03,06,    0.00,   12.93,   13.40,   13.46
27.68951,85.36141,1995,03,07,    0.35,    7.39,   10.41,   10.72
27.68951,85.36141,1995,03,08,    0.07,   14.10,   12.86,   12.62
27.68951,85.36141,1995,03,09,    0.05,   14.62,   12.86,   13.38
27.68951,85.36141,1995,03,10,    0.01,   14.10,   13.02,   13.39
27.68951,85.36141,1995,03,11,    0.00,   13.56,   13.55,   13.60
27.68951,85.36141,1995,03,12,    0.00,   15.12,   12.62,   12.63
27.68951,85.36141,1995,03,13,    0.00,   13.85,   12.28,   13.16
27.68951,85.36141,1995,03,14,    0.00,   13.50,   14.29,   14.49
27.68951,85.36141,1995,03,15,    0.00,   13.89,   14.95,   16.02
27.68951,85.36141,1995,03,16,    0.00,   12.56,   15.79,   16.26
27.68951,85.36141,1995,03,17,    0.13,   13.96,   16.31,   16.30
27.68951,85.36141,1995,03,18,    0.67,   14.47,   15.81,   15.66
27.68951,85.36141,1995,03,19,    0.18,   14.95,   16.27,   16.74
27.68951,85.36141,1995,03,20,    0.00,   14.88,   17.28,   17.64
27.68951,85.36141,1995,03,21,    0.00,   14.30,   17.71,   18.18
27.68951,85.36141,1995,03,22,    0.00,   14.24,   18.35,   19.08
27.68951,85.36141,1995,03,23,    0.00,   13.95,   18.73,   19.12
27.68951,85.36141,1995,03,24,    0.00,   13.48,   19.60,   19.87
27.68951,85.36141,1995,03,25,    0.00,   13.54,   21.12,   20.77
27.68951,85.36141,1995,03,26,    0.50,   12.09,   18.97,   18.11
