LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
27.75421,85.30591,PRECTOT,1981,27.66,1.14,27.99,59.77,128.8,169.99,336.35,218.45,87.28,2.27,21.53,2.27,1083.5
27.75421,85.30591,PRECTOT,1982,78.26,9.49,19.64,21,36.54,67.9,219.97,180.53,124.55,2.8,6.84,4.85,772.37
27.75421,85.30591,PRECTOT,1983,0.23,0.13,9.28,8.58,48.49,96.43,138.27,86.4,54.5,52.44,0,5.41,500.15
27.75421,85.30591,PRECTOT,1984,4.19,15.04,5.06,14.02,34.99,149.69,205.48,219.56,164.91,15.29,0,2.43,830.66
27.75421,85.30591,PRECTOT,1985,17.86,0.51,0.85,0.76,31.74,42.64,295.01,181.77,171.91,76,0,4.04,823.11
27.75421,85.30591,PRECTOT,1986,0.32,14.25,3.31,14.39,34.45,153.4,225.84,102.24,37.96,34.07,0.34,32.85,653.43
27.75421,85.30591,PRECTOT,1987,4.45,3.61,12.38,10.16,13.01,34.6,215.27,222.14,162.32,93.49,0.04,2.21,773.68
27.75421,85.30591,PRECTOT,1988,0.98,2.29,39.39,30.25,78.54,101.97,295.4,199.45,56.31,13.85,0,23.75,842.18
27.75421,85.30591,PRECTOT,1989,24.3,8.05,7.76,3.35,61.25,67.57,180.9,118.23,70.46,10.58,1.47,2.38,556.31
27.75421,85.30591,PRECTOT,1990,0,21.1,11.18,5.44,13.38,92.2,359.1,149.01,111.85,18.06,0,0.2,781.54
27.75421,85.30591,PRECTOT,1991,3.98,0.23,6.58,2.59,28.79,36.51,145.42,114.84,83.11,2.76,0.13,21.12,446.07
27.75421,85.30591,PRECTOT,1992,0.96,3.47,0.37,1.23,21.09,59.34,126.18,116.17,88.29,47.6,7.45,3.47,475.61
27.75421,85.30591,PRECTOT,1993,7.01,1.54,34,18.86,58.08,92.76,162.01,70.63,89.92,5.64,2.05,0,542.5
27.75421,85.30591,PRECTOT,1994,16.16,2.22,3.96,1.31,21.54,94.21,109.2,68.75,110.13,2.67,0.96,0.02,431.13
27.75421,85.30591,PRECTOT,1995,4.61,8.28,5.57,1.91,11.22,132.27,158.83,184.19,44.91,13.12,24.79,10.68,600.38
27.75421,85.30591,PRECTOT,1996,29.87,13.13,0.29,28.72,17.15,98.83,134.17,195.62,72.24,28.35,0.13,0,618.51
27.75421,85.30591,PRECTOT,1997,5.5,0.06,1.06,28.46,18.68,75.24,172.31,115.61,26.61,4.95,2.25,16.68,467.41
27.75421,85.30591,PRECTOT,1998,0.59,4.18,7.65,10.59,40.71,61.51,161.87,188.48,97.37,27.3,1.56,0,601.82
27.75421,85.30591,PRECTOT,1999,2.55,0.5,0,3.6,41.68,83.88,89.33,115.12,60.33,51.8,0,0.01,448.8
27.75421,85.30591,PRECTOT,2000,0.9,1.35,3.1,5.74,58.2,158.44,139.31,170.84,125.06,1.42,2.5,0.02,666.88
27.75421,85.30591,PRECTOT,2001,0.3,0.14,5.02,6.09,42.44,73.06,160.65,156.52,118.29,21.47,0.28,0,584.26
27.75421,85.30591,PRECTOT,2002,12.11,10.44,22.24,6.51,61.15,74.38,126.94,76.39,54.99,21.43,0.1,10.69,477.37
27.75421,85.30591,PRECTOT,2003,5.32,44.06,2.38,6.34,9.14,87.58,153.24,81.56,49.48,29.45,0.03,12.31,480.89
27.75421,85.30591,PRECTOT,2004,22.29,0.07,17.93,142.09,107.75,166.82,365.73,177.8,150.65,67.32,23.22,0.05,1241.73
27.75421,85.30591,PRECTOT,2005,49.6,13.36,21.74,23.89,27.66,153.1,285.91,260.05,84.66,146.26,0,0.04,1066.28
27.75421,85.30591,PRECTOT,2006,0,0,23.87,16.04,132.59,220.97,292.34,162.67,195.53,29.14,1.82,21.08,1096.04
27.75421,85.30591,PRECTOT,2007,0,82.72,32.09,48.4,62.5,206.98,302.5,239.39,181.52,24.59,2,0.02,1182.71
27.75421,85.30591,PRECTOT,2008,14.79,0.68,20.69,26.79,111.02,311.86,314.76,283.21,203.99,25.61,0.05,0.98,1314.43
27.75421,85.30591,PRECTOT,2009,0.07,0.46,5.95,1.51,121.02,107.13,219.03,303.65,54.1,51.06,2.92,3.03,869.92
27.75421,85.30591,PRECTOT,2010,0.24,11.08,0.22,2.22,60.47,98.65,218.94,341.26,227.12,42.72,0.88,2.57,1006.38
27.75421,85.30591,PRECTOT,2011,0.9,12.38,10.37,19.41,142.66,179.45,287.52,261.75,162.53,6.3,0.47,0.8,1084.52
27.75421,85.30591,PRECTOT,2012,13.74,5.59,10.19,11.14,19.28,72.37,314.16,227.13,300.62,26.94,5.83,0,1006.97
27.75421,85.30591,PRECTOT,2013,9.42,43.67,15.49,29.34,121.28,301.02,221.42,344.07,177.45,156.98,2.8,0.1,1423.03
27.75421,85.30591,PRECTOT,2014,8.92,18.24,19.8,12.78,135.25,235.01,308.64,318.59,222.05,71.24,0,19.62,1370.15
27.75421,85.30591,PRECTOT,2015,10.02,8.82,76.37,68.51,68.05,170.67,298.18,388.41,135.67,51.71,0.15,0,1276.57
27.75421,85.30591,PRECTOT,2016,2.56,10.37,21.92,5.04,110.02,261.58,357.54,114.62,254.65,72.55,0,0,1210.84
27.75421,85.30591,PRECTOT,2017,9.52,0.03,57.82,71.15,126.03,128.86,239.33,344.93,145.59,48.25,0.05,0.02,1171.58
27.75421,85.30591,PRECTOT,2018,0.08,0.08,0.53,2.87,4.81,5.69,8.92,8.18,2.16,0.17,0.01,0.02,2.82
27.75421,85.30591,PRECTOT,2019,0.33,2.38,1.01,2.57,2.54,4.66,12.98,6.2,8.21,0.73,1.14,0.85,3.64
27.75421,85.30591,QV2M,1981,0,0,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,1982,0,0,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,1983,0,0,0,0,0.01,0.01,0.02,0.02,0.01,0.01,0,0,0.01
27.75421,85.30591,QV2M,1984,0,0,0,0,0.01,0.01,0.02,0.02,0.01,0.01,0,0,0.01
27.75421,85.30591,QV2M,1985,0,0,0,0,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01
27.75421,85.30591,QV2M,1986,0,0,0,0,0.01,0.01,0.02,0.02,0.01,0.01,0,0,0.01
27.75421,85.30591,QV2M,1987,0,0,0,0,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,1988,0,0,0,0,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,1989,0,0,0,0,0.01,0.01,0.02,0.02,0.01,0.01,0,0,0.01
27.75421,85.30591,QV2M,1990,0,0,0,0,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,1991,0,0,0,0,0.01,0.01,0.02,0.02,0.01,0.01,0,0,0.01
27.75421,85.30591,QV2M,1992,0,0,0,0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,1993,0,0,0,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0,0,0.01
27.75421,85.30591,QV2M,1994,0,0,0,0,0.01,0.01,0.02,0.02,0.01,0.01,0,0,0.01
27.75421,85.30591,QV2M,1995,0,0,0,0,0.01,0.01,0.02,0.02,0.01,0.01,0,0,0.01
27.75421,85.30591,QV2M,1996,0,0,0,0,0.01,0.01,0.02,0.02,0.01,0.01,0,0,0.01
27.75421,85.30591,QV2M,1997,0,0,0,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0,0,0.01
27.75421,85.30591,QV2M,1998,0,0,0,0,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,1999,0,0,0,0,0.01,0.01,0.02,0.02,0.01,0.01,0,0,0.01
27.75421,85.30591,QV2M,2000,0,0,0,0,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,2001,0,0,0,0,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,2002,0,0,0,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,2003,0,0,0,0,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,2004,0,0,0,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01
27.75421,85.30591,QV2M,2005,0,0,0.01,0,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,2006,0,0,0,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,2007,0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,2008,0,0,0,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01
27.75421,85.30591,QV2M,2009,0,0,0,0,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,2010,0,0,0,0,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,2011,0,0,0,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,2012,0,0,0,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,2013,0,0,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01
27.75421,85.30591,QV2M,2014,0,0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,2015,0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,2016,0,0,0,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01
27.75421,85.30591,QV2M,2017,0,0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,2018,0,0,0,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0,0.01
27.75421,85.30591,QV2M,2019,0,0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01
27.75421,85.30591,RH2M,1981,56.27,41.24,41.12,39.88,54.24,60.8,89.06,90.14,88.01,68.91,54.93,42.36,60.73
27.75421,85.30591,RH2M,1982,43.6,50.41,46.53,37.01,35.95,57.15,73.4,85.87,83.02,62.68,53.92,39.81,55.8
27.75421,85.30591,RH2M,1983,36.34,27.22,25.39,31.04,40.64,44.5,74.72,79.89,79.07,63.59,43.02,35.4,48.56
27.75421,85.30591,RH2M,1984,31.81,28.64,21.52,23.52,39.67,71.61,85.05,84.86,86.22,66.69,44.63,38.21,51.95
27.75421,85.30591,RH2M,1985,43.34,25.78,19.32,24.18,33.87,48.28,81.71,86.33,88.81,84.06,67.8,56.33,55.2
27.75421,85.30591,RH2M,1986,40.57,41.63,30.73,27.81,35.42,52.87,86.06,83.52,78.95,57.88,36.52,39.37,51.04
